"TickerId";"Naam";"ISIN";"Categorie";"Risico";"Koers";"Div"
"ABI";"Anheuser-Busch Inbev";"BE0974293251";"DG";2;62.66;1.8
"ACKB";"Ackermans & van Haaren";"BE0003764785";"DG";1;135.2;2.85
"AGS";"Ageas";"BE0974264930";"DW";2;40.43;2.1
"APAM";"Aperam";"LU0569974404";"BT";3;24.04;1.52
"ATEB";"Atenor";"BE0003837540";"DW";2;53.2;2.1
"BCART";"Biocartis";"BE0974281132";"BT";3;11.2;0.0
"BEKB";"Bekaert";"BE0974258874";"DW";1;21.6;1.33
"BREB";"Brederode";"LU1068091351";"VA";2;53.5;0.9
"DEXB";"Dexia";"BE0974290224";"BT";4;3.84;0.0
"DIE";"D Ieteren NV";"BE0974259880";"VA";2;34.26;0.95
"ENGI";"Engie";"FR0010208488";"DW";2;12.13;0.3
"GBL";"Group Brussel Lambert";"BE0003797140";"VA";1;76.42;3.06
"GIMVB";"Gimv";"BE0003699130";"DW";1;46.5;2.45
"GLPG";"Galapagos";"BE0003818359";"BT";3;89.82;0.0
"KBC";"KBC Group";"BE0003565737";"DW";2;59.4;4.29
"KBCA";"KBC Ancora";"BE0003867844";"VA";2;38.66;2.9
"MELE";"Melexis";"BE0165385973";"DG";1;47.7;2.65
"MONT";"Montea";"BE0003853703";"DW";2;58.8;2.52
"NYR";"Nyrstar";"BE0974294267";"BT";4;0.67;0.0
"OPTI";"Crescent";"BE0003836534";"BT";3;0.05;0.0
"PIC";"Picanol";"BE0003807246";"DG";2;75.4;0.2
"PROX";"Proximus";"BE0003810273";"DW";2;23.27;1.54
"SGO";"Saint-Gobain";"FR0000125007";"BT";2;29.94;1.4
"SIOE";"Sioen Industries";"BE0003743573";"DG";2;23.15;0.85
"SIP";"Sipef";"BE0003898187";"VA";2;50.5;1.6
"SOLB";"Solvay";"BE0003470755";"DW";2;92.66;3.73
"TESB";"Tessenderlo";"BE0003555639";"BT";2;30.3;0.0
"TINC";"TINC";"BE0974282148";"DW";1;11.785;0.49
"TNET";"Telenet Group Holding";"BE0003826436";"DG";2;41.44;0.0
"UMI";"Umicore";"BE0974320526";"DG";2;35.39;0.92
"XFAB";"X-Fab";"BE0974310428";"BT";3;4.86;0.0
