"TickerId";"Maand";"Dag";"Divident";"Voorheffing"
"ABI";5;27;1.0;0.3
"ABI";11;27;0.8;0.3
"ACKB";5;30;2.2;0.3
"AGS";5;30;2.2;0.3
"APAM";12;11;1.52;0.4
"ATEB";5;3;2.12;0.3
"BEKB";5;15;1.0;0.3
"BREB";5;23;0.9;0.3
"DIE";6;7;0.95;0.3
"ENGI";10;12;0.75;0.6
"GBL";5;9;3.81;0.3
"GIMVB";7;4;5.27;0.3
"KBC";11;16;3.0;0.3
"KBCA";6;7;2.9;0.3
"MELE";10;25;2.2;0.3
"MONT";6;8;4.16;0.3
"PROX";4;27;1.0;0.3
"PROX";12;7;0.5;0.3
"SGO";6;11;1.4;0.6
"SIOE";5;6;0.6;0.3
"SIP";7;4;1.6;0.3
"SOLB";5;23;3.7;0.3
"TINC";11;14;0.49;0.3
"UMI";8;28;0.8;0.3
