"Ticker";"Datum";"Aantal";"Prijs";"Makelaarsloon";"Beurstaks"
"ABI";"2016-11-23";50;97.33;15.0;13.14
"ABI";"2018-06-13";50;83.5;15.0;14.61
"ABI";"2018-10-09";50;75.0;15.0;13.13
"ABI";"2018-11-02";50;68.2;15.0;11.94
"ACKB";"2016-11-09";40;119.3;40.56;12.88
"AGS";"2008-09-02";100;96.2;96.2;16.35
"APAM";"2018-11-30";50;25.0;7.5;4.38
"APAM";"2018-12-06";50;24.0;7.5;4.2
"APAM";"2018-12-07";100;24.49;7.5;8.57
"ATEB";"2018-10-08";100;50.0;15.0;17.5
"BCART";"2015-04-27";160;11.5;0.0;0.0
"BCART";"2016-10-13";240;9.4761;25.0;6.14
"BEKB";"2015-04-22";200;26.3344;33.58;14.22
"BEKB";"2018-10-08";200;21.6;15.0;15.12
"BEKB";"2018-10-15";200;19.5;15.0;13.65
"BREB";"2018-12-03";100;53.9;15.0;18.87
"DEXB";"2008-08-29";1;9450.0;94.5;16.07
"DIE";"2018-12-05";100;35.0;15.0;12.25
"ENGI";"2008-10-15";100;29.5;32.0;5.02
"ENGI";"2008-10-22";100;31.0;32.0;5.27
"ENGI";"2009-06-04";6;21.05;7.5;0.0
"ENGI";"2012-05-23";8;16.43;7.5;0.0
"ENGI";"2012-10-26";10;16.86;7.5;0.0
"ENGI";"2018-10-16";276;11.8;15.0;21.17
"GBL";"2018-10-17";100;82.16;15.0;28.76
"GBL";"2018-11-02";100;82.5;15.0;28.88
"GIMVB";"2008-09-02";125;40.99;51.24;8.71
"GIMVB";"2008-10-15";75;30.5;32.0;3.89
"GIMVB";"2012-08-03";11;31.2375;0.0;0.0
"GIMVB";"2018-10-17";289;47.2;30.0;47.74
"GIMVB";"2018-12-06";100;47.0;15.0;16.45
"GLPG";"2016-05-11";100;43.1;36.64;11.64
"KBC";"2008-10-15";125;40.98;51.23;8.71
"KBCA";"2018-10-09";100;44.0;15.0;15.4
"KBCA";"2018-12-05";75;39.9;15.0;10.47
"MELE";"2016-05-11";100;47.9;40.72;12.93
"MELE";"2018-10-24";50;54.6;15.0;9.56
"MELE";"2018-10-25";50;54.0;15.0;9.45
"MONT";"2018-10-08";75;55.0;15.0;4.95
"NYR";"2018-10-05";1000;2.19;7.5;7.67
"OPTI";"2017-06-16";15000;0.068;7.5;2.75
"PIC";"2015-02-12";10;34.35;20.0;0.93
"PROX";"2017-03-07";100;27.75;15.0;7.49
"PROX";"2017-09-13";20;29.0;7.5;1.57
"PROX";"2018-05-22";40;22.97;7.5;3.22
"PROX";"2018-08-14";40;20.87;7.5;2.92
"PROX";"2018-10-05";200;21.0;15.0;14.7
"PROX";"2018-10-09";200;20.8;15.0;14.56
"SGO";"2018-11-30";100;32.5;9.75;11.38
"SIOE";"2017-05-24";100;32.0;15.0;8.64
"SIOE";"2018-10-10";90;24.0;7.5;7.56
"SIOE";"2018-10-17";210;23.0;15.0;16.91
"SIP";"2018-11-02";25;52.7;7.5;4.61
"SIP";"2018-11-03";75;52.5;15.0;13.78
"SOLB";"2018-10-10";50;112.5;15.0;19.69
"SOLB";"2018-10-23";25;100.0;7.5;8.75
"SOLB";"2018-11-21";25;96.0;7.5;8.4
"TESB";"2016-10-13";100;30.095;25.58;8.13
"TNET";"2008-10-22";200;11.05;3.76;32.0
"TNET";"2012-12-31";-200;35.5;60.35;17.75
"UMI";"2008-10-14";400;9.0;36.0;6.12
"UMI";"2008-10-22";400;7.5;32.0;5.1
"UMI";"2018-12-06";50;35.0;7.5;6.13
"UMI";"2018-12-07";50;35.5;7.5;6.21
"XFAB";"2018-10-24";100;6.0;7.5;2.1
"XFAB";"2018-10-25";400;5.4;7.5;7.56
"XFAB";"2018-11-21";500;4.99;7.5;8.73
